Date,Pays,Filière,Valeur (TWh),
2018-12,Danemark,Nucléaire,,
2019-01,Danemark,Nucléaire,,
2019-02,Danemark,Nucléaire,,
2019-03,Danemark,Nucléaire,,
2019-04,Danemark,Nucléaire,,
2019-05,Danemark,Nucléaire,,
2019-06,Danemark,Nucléaire,,
2019-07,Danemark,Nucléaire,,
2019-08,Danemark,Nucléaire,,
2019-09,Danemark,Nucléaire,,
2019-10,Danemark,Nucléaire,,
2019-11,Danemark,Nucléaire,,
2019-12,Danemark,Nucléaire,,
2020-01,Danemark,Nucléaire,,
2020-02,Danemark,Nucléaire,,
2020-03,Danemark,Nucléaire,,
2020-04,Danemark,Nucléaire,,
2020-05,Danemark,Nucléaire,,
2020-06,Danemark,Nucléaire,,
2020-07,Danemark,Nucléaire,,
2020-08,Danemark,Nucléaire,,
2020-09,Danemark,Nucléaire,,
2020-10,Danemark,Nucléaire,,
2020-11,Danemark,Nucléaire,,
2020-12,Danemark,Nucléaire,,
2021-01,Danemark,Nucléaire,,
2021-02,Danemark,Nucléaire,,
2021-03,Danemark,Nucléaire,,
2021-04,Danemark,Nucléaire,,
2021-05,Danemark,Nucléaire,,
2021-06,Danemark,Nucléaire,,
2021-07,Danemark,Nucléaire,,
2021-08,Danemark,Nucléaire,,
2021-09,Danemark,Nucléaire,,
2021-10,Danemark,Nucléaire,,
2021-11,Danemark,Nucléaire,,
2021-12,Danemark,Nucléaire,,
2022-01,Danemark,Nucléaire,,
2022-02,Danemark,Nucléaire,,
2022-03,Danemark,Nucléaire,,
2022-04,Danemark,Nucléaire,,
2022-05,Danemark,Nucléaire,,
2022-06,Danemark,Nucléaire,,
2022-07,Danemark,Nucléaire,,
2022-08,Danemark,Nucléaire,,
2022-09,Danemark,Nucléaire,,
2022-10,Danemark,Nucléaire,,
2022-11,Danemark,Nucléaire,,
2022-12,Danemark,Nucléaire,,
2023-01,Danemark,Nucléaire,,
2023-02,Danemark,Nucléaire,,
2023-03,Danemark,Nucléaire,,
2023-04,Danemark,Nucléaire,,
2023-05,Danemark,Nucléaire,,
2023-06,Danemark,Nucléaire,,
2023-07,Danemark,Nucléaire,,
2023-08,Danemark,Nucléaire,,
2023-09,Danemark,Nucléaire,,
2023-10,Danemark,Nucléaire,,
