Date;FiliŠre;Valeur (TWh);Nature
2010-04;Production solaire;0,045;Donn‚es Consolid‚es
2010-05;Production solaire;0,054;Donn‚es Consolid‚es
2010-06;Production solaire;0,055;Donn‚es Consolid‚es
2010-07;Production solaire;0,069;Donn‚es Consolid‚es
2010-08;Production solaire;0,074;Donn‚es Consolid‚es
2010-09;Production solaire;0,074;Donn‚es Consolid‚es
2010-10;Production solaire;0,058;Donn‚es Consolid‚es
2010-11;Production solaire;0,032;Donn‚es Consolid‚es
2010-12;Production solaire;0,03;Donn‚es Consolid‚es
2011-01;Production solaire;0,048;Donn‚es Consolid‚es
2011-02;Production solaire;0,066;Donn‚es Consolid‚es
2011-03;Production solaire;0,126;Donn‚es Consolid‚es
2011-04;Production solaire;0,19;Donn‚es Consolid‚es
2011-05;Production solaire;0,225;Donn‚es Consolid‚es
2011-06;Production solaire;0,214;Donn‚es Consolid‚es
2011-07;Production solaire;0,249;Donn‚es Consolid‚es
2011-08;Production solaire;0,271;Donn‚es Consolid‚es
2011-09;Production solaire;0,251;Donn‚es Consolid‚es
2011-10;Production solaire;0,208;Donn‚es Consolid‚es
2011-11;Production solaire;0,12;Donn‚es Consolid‚es
2011-12;Production solaire;0,099;Donn‚es Consolid‚es
2012-01;Production solaire;0,125;Donn‚es Consolid‚es
2012-02;Production solaire;0,216;Donn‚es Consolid‚es
2012-03;Production solaire;0,356;Donn‚es Consolid‚es
2012-04;Production solaire;0,329;Donn‚es Consolid‚es
2012-05;Production solaire;0,454;Donn‚es Consolid‚es
2012-06;Production solaire;0,483;Donn‚es Consolid‚es
2012-07;Production solaire;0,544;Donn‚es Consolid‚es
2012-08;Production solaire;0,536;Donn‚es Consolid‚es
2012-09;Production solaire;0,413;Donn‚es Consolid‚es
2012-10;Production solaire;0,283;Donn‚es Consolid‚es
2012-11;Production solaire;0,182;Donn‚es Consolid‚es
2012-12;Production solaire;0,149;Donn‚es Consolid‚es
2013-01;Production solaire;0,146;Donn‚es Consolid‚es
2013-02;Production solaire;0,23;Donn‚es Consolid‚es
2013-03;Production solaire;0,344;Donn‚es Consolid‚es
2013-04;Production solaire;0,434;Donn‚es Consolid‚es
2013-05;Production solaire;0,503;Donn‚es Consolid‚es
2013-06;Production solaire;0,563;Donn‚es Consolid‚es
2013-07;Production solaire;0,658;Donn‚es Consolid‚es
2013-08;Production solaire;0,602;Donn‚es Consolid‚es
2013-09;Production solaire;0,463;Donn‚es Consolid‚es
2013-10;Production solaire;0,32;Donn‚es Consolid‚es
2013-11;Production solaire;0,183;Donn‚es Consolid‚es
2013-12;Production solaire;0,216;Donn‚es Consolid‚es
2014-01;Production solaire;0,176269528;Donn‚es Consolid‚es
2014-02;Production solaire;0,262552421;Donn‚es Consolid‚es
2014-03;Production solaire;0,53408534;Donn‚es Consolid‚es
2014-04;Production solaire;0,584097606;Donn‚es Consolid‚es
2014-05;Production solaire;0,68133538;Donn‚es Consolid‚es
2014-06;Production solaire;0,763174562;Donn‚es Consolid‚es
2014-07;Production solaire;0,685904926;Donn‚es Consolid‚es
2014-08;Production solaire;0,694138051;Donn‚es Consolid‚es
2014-09;Production solaire;0,640237965;Donn‚es Consolid‚es
2014-10;Production solaire;0,479780474;Donn‚es Consolid‚es
2014-11;Production solaire;0,244358673;Donn‚es Consolid‚es
2014-12;Production solaire;0,190198034;Donn‚es Consolid‚es
2015-01;Production solaire;0,251777314;Donn‚es Consolid‚es
2015-02;Production solaire;0,358825449;Donn‚es Consolid‚es
2015-03;Production solaire;0,536985285;Donn‚es Consolid‚es
2015-04;Production solaire;0,782696397;Donn‚es Consolid‚es
2015-05;Production solaire;0,843480527;Donn‚es Consolid‚es
2015-06;Production solaire;0,951574511;Donn‚es Consolid‚es
2015-07;Production solaire;0,943073496;Donn‚es Consolid‚es
2015-08;Production solaire;0,851524067;Donn‚es Consolid‚es
2015-09;Production solaire;0,715763506;Donn‚es Consolid‚es
2015-10;Production solaire;0,512350133;Donn‚es Consolid‚es
2015-11;Production solaire;0,376561335;Donn‚es Consolid‚es
2015-12;Production solaire;0,306025164;Donn‚es Consolid‚es
2016-01;Production solaire;0,275822869;Donn‚es Consolid‚es
2016-02;Production solaire;0,409533025;Donn‚es Consolid‚es
2016-03;Production solaire;0,675006272;Donn‚es Consolid‚es
2016-04;Production solaire;0,794985625;Donn‚es Consolid‚es
2016-05;Production solaire;0,930777967;Donn‚es Consolid‚es
2016-06;Production solaire;0,908886073;Donn‚es Consolid‚es
2016-07;Production solaire;1,067841828;Donn‚es Consolid‚es
2016-08;Production solaire;1,059874987;Donn‚es Consolid‚es
2016-09;Production solaire;0,822057626;Donn‚es Consolid‚es
2016-10;Production solaire;0,726086999;Donn‚es Consolid‚es
2016-11;Production solaire;0,368047649;Donn‚es Consolid‚es
2016-12;Production solaire;0,368126449;Donn‚es Consolid‚es
2017-01;Production solaire;0,362793975;Donn‚es Consolid‚es
2017-02;Production solaire;0,430100124;Donn‚es Consolid‚es
2017-03;Production solaire;0,701752342;Donn‚es Consolid‚es
2017-04;Production solaire;1,04185125;Donn‚es Consolid‚es
2017-05;Production solaire;1,087552083;Donn‚es Consolid‚es
2017-06;Production solaire;1,127582651;Donn‚es Consolid‚es
2017-07;Production solaire;1,079259644;Donn‚es Consolid‚es
2017-08;Production solaire;1,049674863;Donn‚es Consolid‚es
2017-09;Production solaire;0,820290726;Donn‚es Consolid‚es
2017-10;Production solaire;0,713655149;Donn‚es Consolid‚es
2017-11;Production solaire;0,454289947;Donn‚es Consolid‚es
2017-12;Production solaire;0,276916365;Donn‚es Consolid‚es
2018-01;Production solaire;0,274431466;Donn‚es Consolid‚es
2018-02;Production solaire;0,519265447;Donn‚es Consolid‚es
2018-03;Production solaire;0,76575109;Donn‚es Consolid‚es
2018-04;Production solaire;1,007589673;Donn‚es Consolid‚es
2018-05;Production solaire;1,140971572;Donn‚es Consolid‚es
2018-06;Production solaire;1,285238388;Donn‚es Consolid‚es
2018-07;Production solaire;1,428678547;Donn‚es Consolid‚es
2018-08;Production solaire;1,315863465;Donn‚es Consolid‚es
2018-09;Production solaire;1,161875929;Donn‚es Consolid‚es
2018-10;Production solaire;0,787853833;Donn‚es Consolid‚es
2018-11;Production solaire;0,470796806;Donn‚es Consolid‚es
2018-12;Production solaire;0,282924844;Donn‚es Consolid‚es
2019-01;Production solaire;0,417010829;Donn‚es Consolid‚es
2019-02;Production solaire;0,772468512;Donn‚es Consolid‚es
2019-03;Production solaire;1,099588014;Donn‚es Consolid‚es
2019-04;Production solaire;1,109038035;Donn‚es Consolid‚es
2019-05;Production solaire;1,361672261;Donn‚es Consolid‚es
2019-06;Production solaire;1,444877259;Donn‚es Consolid‚es
2019-07;Production solaire;1,544022597;Donn‚es Consolid‚es
2019-08;Production solaire;1,424567818;Donn‚es Consolid‚es
2019-09;Production solaire;1,191449196;Donn‚es Consolid‚es
2019-10;Production solaire;0,762204239;Donn‚es Consolid‚es
2019-11;Production solaire;0,446596863;Donn‚es Consolid‚es
2019-12;Production solaire;0,427612932;Donn‚es Consolid‚es
2020-01;Production solaire;0,467434281;Donn‚es Consolid‚es
2020-02;Production solaire;0,707384488;Donn‚es Consolid‚es
2020-03;Production solaire;1,014251106;Donn‚es Consolid‚es
2020-04;Production solaire;1,260139453;Donn‚es Consolid‚es
2020-05;Production solaire;1,542717631;Donn‚es Consolid‚es
2020-06;Production solaire;1,468288066;Donn‚es Consolid‚es
2020-07;Production solaire;1,690025897;Donn‚es Consolid‚es
2020-08;Production solaire;1,503494245;Donn‚es Consolid‚es
2020-09;Production solaire;1,220484959;Donn‚es Consolid‚es
2020-10;Production solaire;0,767880414;Donn‚es Consolid‚es
2020-11;Production solaire;0,659604417;Donn‚es Consolid‚es
2020-12;Production solaire;0,352886082;Donn‚es Consolid‚es
2021-01;Production solaire;0,434416763;Donn‚es Consolid‚es
2021-02;Production solaire;0,629330561;Donn‚es Consolid‚es
2021-03;Production solaire;1,228274671;Donn‚es Consolid‚es
2021-04;Production solaire;1,532992051;Donn‚es Consolid‚es
2021-05;Production solaire;1,571394406;Donn‚es Consolid‚es
2021-06;Production solaire;1,638450744;Donn‚es Consolid‚es
2021-07;Production solaire;1,675422415;Donn‚es Consolid‚es
2021-08;Production solaire;1,703410355;Donn‚es Consolid‚es
2021-09;Production solaire;1,413150571;Donn‚es Consolid‚es
2021-10;Production solaire;1,200847829;Donn‚es Consolid‚es
2021-11;Production solaire;0,6622606;Donn‚es Consolid‚es
2021-12;Production solaire;0,531706278;Donn‚es Consolid‚es
2022-01;Production solaire;0,7919738;Donn‚es Consolid‚es
2022-02;Production solaire;1,023531731;Donn‚es Consolid‚es
2022-03;Production solaire;1,408575352;Donn‚es Consolid‚es
2022-04;Production solaire;1,816527003;Donn‚es Consolid‚es
2022-05;Production solaire;2,367778704;Donn‚es Consolid‚es
2022-06;Production solaire;2,270097196;Donn‚es Consolid‚es
2022-07;Production solaire;2,669213121;Donn‚es Consolid‚es
